Letter: !        Rotated Letter: P
Letter: #        Rotated Letter: R
Letter: $        Rotated Letter: S
Letter: %        Rotated Letter: T
Letter: &        Rotated Letter: U
Letter: \        Rotated Letter: -
Letter: '        Rotated Letter: V
Letter: (        Rotated Letter: W
Letter: )        Rotated Letter: X
Letter: *        Rotated Letter: Y
Letter: +        Rotated Letter: Z
Letter: ,        Rotated Letter: [
Letter: -        Rotated Letter: \
Letter: .        Rotated Letter: ]
Letter: /        Rotated Letter: ^
Letter: 0        Rotated Letter: _
Letter: 1        Rotated Letter: `
Letter: 2        Rotated Letter: a
Letter: 3        Rotated Letter: b
Letter: 4        Rotated Letter: c
Letter: 5        Rotated Letter: d
Letter: 6        Rotated Letter: e
Letter: 7        Rotated Letter: f
Letter: 8        Rotated Letter: g
Letter: 9        Rotated Letter: h
Letter: :        Rotated Letter: i
Letter: ;        Rotated Letter: j
Letter: <        Rotated Letter: k
Letter: =        Rotated Letter: l
Letter: >        Rotated Letter: m
Letter: ?        Rotated Letter: n
Letter: @        Rotated Letter: o
Letter: A        Rotated Letter: p
Letter: B        Rotated Letter: q
Letter: C        Rotated Letter: r
Letter: D        Rotated Letter: s
Letter: E        Rotated Letter: t
Letter: F        Rotated Letter: u
Letter: G        Rotated Letter: v
Letter: H        Rotated Letter: w
Letter: I        Rotated Letter: x
Letter: J        Rotated Letter: y
Letter: K        Rotated Letter: z
Letter: L        Rotated Letter: {
Letter: M        Rotated Letter: |
Letter: N        Rotated Letter: }
Letter: O        Rotated Letter: ~
Letter: P        Rotated Letter: !
Letter: Q        Rotated Letter: "
Letter: R        Rotated Letter: #
Letter: S        Rotated Letter: $
Letter: T        Rotated Letter: %
Letter: U        Rotated Letter: &
Letter: V        Rotated Letter: '
Letter: W        Rotated Letter: (
Letter: X        Rotated Letter: )
Letter: Y        Rotated Letter: *
Letter: Z        Rotated Letter: +
Letter: [        Rotated Letter: ,
Letter: \        Rotated Letter: -
Letter: ]        Rotated Letter: .
Letter: ^        Rotated Letter: /
Letter: _        Rotated Letter: 0
Letter: `        Rotated Letter: 1
Letter: a        Rotated Letter: 2
Letter: b        Rotated Letter: 3
Letter: c        Rotated Letter: 4
Letter: d        Rotated Letter: 5
Letter: e        Rotated Letter: 6
Letter: f        Rotated Letter: 7
Letter: g        Rotated Letter: 8
Letter: h        Rotated Letter: 9
Letter: i        Rotated Letter: :
Letter: j        Rotated Letter: ;
Letter: k        Rotated Letter: <
Letter: l        Rotated Letter: =
Letter: m        Rotated Letter: >
Letter: n        Rotated Letter: ?
Letter: o        Rotated Letter: @
Letter: p        Rotated Letter: A
Letter: q        Rotated Letter: B
Letter: r        Rotated Letter: C
Letter: s        Rotated Letter: D
Letter: t        Rotated Letter: E
Letter: u        Rotated Letter: F
Letter: v        Rotated Letter: G
Letter: w        Rotated Letter: H
Letter: x        Rotated Letter: I
Letter: y        Rotated Letter: J
Letter: z        Rotated Letter: K
Letter: {        Rotated Letter: L
Letter: |        Rotated Letter: M
Letter: }        Rotated Letter: N
Letter: ~        Rotated Letter: O
